Bookman-LightItalic				001-050/002/bkli____.afm
Bookman-LightItalic				900-960/902/bkli____.afm
Bookman-LightItalic				900-960/950/bkli____.afm
Bookman-LightItalic				base35/bkli____.afm
Bookman-Medium				101-150/146/bkm_____.afm
Bookman-Medium				900-960/950/bkm_____.afm
Bookman-MediumItalic				101-150/146/bkmi____.afm
Bookman-MediumItalic				900-960/950/bkmi____.afm
BorderPi-OneFiveOneFiveNine				151-200/155/j1515___.afm
Boton-Bold				301-350/320/tnb_____.afm
Boton-BoldItalic				301-350/320/tnbi____.afm
Boton-Italic				301-350/320/tni_____.afm
Boton-Light				301-350/320/tnl_____.afm
Boton-LightItalic				301-350/320/tnli____.afm
Boton-Medium				301-350/320/tnm_____.afm
Boton-MediumItalic				301-350/320/tnmi____.afm
Boton-Regular				301-350/320/tnr_____.afm
Boulevard				251-300/260/qtrg____.afm
BrushScript				001-050/033/bs______.afm
BulmerMT-Bold				401-450/402/ybb_____.afm
BulmerMT-BoldAlt				401-450/403/ybab____.afm
BulmerMT-BoldDisplay				401-450/402/ybdb____.afm
BulmerMT-BoldDisplayAlt				401-450/403/ybbda___.afm
BulmerMT-BoldExpert				401-450/403/ybbxp___.afm
BulmerMT-BoldItalDisplayAlt				401-450/403/ybbid___.afm
BulmerMT-BoldItalic				401-450/402/ybbi____.afm
BulmerMT-BoldItalicAlt				401-450/403/ybabi___.afm
BulmerMT-BoldItalicDisplay				401-450/402/ybdbi___.afm
BulmerMT-BoldItalicExpert				401-450/403/ybbix___.afm
BulmerMT-Italic				401-450/402/ybi_____.afm
BulmerMT-ItalicAlt				401-450/403/ybial___.afm
BulmerMT-ItalicDisplay				401-450/402/ybdsi___.afm
BulmerMT-ItalicDisplayAlt				401-450/403/ybida___.afm
BulmerMT-ItalicExpert				401-450/403/ybixp___.afm
BulmerMT-Regular				401-450/402/ybrg____.afm
BulmerMT-RegularAlt				401-450/403/ybarg___.afm
BulmerMT-RegularDisplay				401-450/402/ybds____.afm
BulmerMT-RegularDisplayAlt				401-450/403/ybrda___.afm
BulmerMT-RegularExpert				401-450/403/ybrgx___.afm
BulmerMT-RegularSC				401-450/403/ybrsc___.afm
BulmerMT-SemiBold				401-450/402/ybsb____.afm
BulmerMT-SemiBoldAlt				401-450/403/ybasb___.afm
BulmerMT-SemiBoldExpert				401-450/403/ybsbx___.afm
BulmerMT-SemiBoldItalExpert				401-450/403/ybsix___.afm
BulmerMT-SemiBoldItalic				401-450/402/ybsi____.afm
BulmerMT-SemiBoldItalicAlt				401-450/403/ybasi___.afm
BulmerMT-SemiBoldSC				401-450/403/ybsbs___.afm
BundesbahnPi-One				151-200/156/db1_____.afm
BundesbahnPi-Three				151-200/156/db3_____.afm
BundesbahnPi-Two				151-200/156/db2_____.afm
Caecilia-Bold				201-250/216/ecb_____.afm
Caecilia-BoldItalic				201-250/216/ecbi____.afm
Caecilia-BoldItalicOsF				201-250/216/ecbio___.afm
Caecilia-BoldItalicSC				201-250/235/ecbis___.afm
Caecilia-BoldOsF				201-250/216/ecbos___.afm
Caecilia-BoldSC				201-250/235/ecbsc___.afm
Caecilia-Heavy				201-250/216/ech_____.afm
Caecilia-HeavyItalic				201-250/216/echi____.afm
Caecilia-HeavyItalicOsF				201-250/216/echio___.afm
Caecilia-HeavyItalicSC				201-250/235/echis___.afm
Caecilia-HeavyOsF				201-250/216/echos___.afm
Caecilia-HeavySC				201-250/235/echsc___.afm
Caecilia-Italic				201-250/216/eci_____.afm
Caecilia-ItalicOsF				201-250/216/ecios___.afm
